Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-03-21,0.9261919260025024,0.9261919260025024,0.9261919260025024,0.9261919260025024,0,0.0,0.0
2002-03-22,0.917616313031786,0.917616313031786,0.8894872012404273,0.8970342874526978,44247600,0.0,0.0
2002-03-25,0.8936037044990844,0.9004644778349533,0.8918887565222159,0.8970342874526978,7429200,0.0,0.0
2002-03-26,0.8970342850981162,0.9210465009964314,0.8970342850981162,0.9207035899162292,4604400,0.0,0.0
2002-03-27,0.9244763668389228,0.951919254191058,0.9193309358710527,0.9347674250602722,13928400,0.0,0.0
2002-03-28,0.9261918500226511,0.9399130995351982,0.9176161304165718,0.9395701885223389,6098400,0.0,0.0
2002-04-01,0.9399129541709471,0.9426573214204044,0.9176159885007056,0.9347674250602722,2727600,0.0,0.0
2002-04-02,0.9347676463120883,0.9430004555806843,0.9261919260025024,0.9261919260025024,4144800,0.0,0.0
2002-04-03,0.9261919493405396,0.9279072897313356,0.8939469261069423,0.9124706983566284,8430000,0.0,0.0
2002-04-04,0.9090399381861272,0.9330525398254396,0.9090399381861272,0.9330525398254395,2284800,0.0,0.0
2002-04-05,0.9296221296499172,0.9587802661309598,0.9279072799912739,0.950547456741333,5533200,0.0,0.0
2002-04-08,0.9330527544297643,0.9484893463402222,0.9323666378781993,0.9467740058898926,4418400,0.0,0.0
2002-04-09,0.9604952957619015,0.9604952957619015,0.9467740437530364,0.9570651054382324,2905200,0.0,0.0
2002-04-10,0.9570646890687972,0.9714720513887667,0.9502038206920798,0.9711292386054993,3027600,0.0,0.0
2002-04-11,0.9742168453605572,0.9742168453605572,0.9604952021181367,0.9683851003646851,5821200,0.0,0.0
2002-04-12,0.9604950357660126,0.9742166766319252,0.9553495063162553,0.9707860946655273,5308800,0.0,0.0
2002-04-15,0.9742171406905991,0.9759319908479993,0.9604954932885158,0.9639260768890381,2198400,0.0,0.0
2002-04-16,0.960495288490796,0.977647123264839,0.960495288490796,0.9762750864028931,3998400,0.0,0.0
2002-04-17,0.9762751160700222,0.9762751160700222,0.9707863795984238,0.9718154072761536,3704400,0.0,0.0
2002-04-18,0.9742170399269553,0.9742170399269553,0.949518607129207,0.955349862575531,3751200,0.0,0.0
2002-04-19,0.9587803094710268,0.9587803094710268,0.9433438157034029,0.9467740058898926,3531600,0.0,0.0
2002-04-22,0.9519193169211023,0.9759315259724736,0.946773787471345,0.9707860946655273,8922000,0.0,0.0
2002-04-23,0.97078645294152,0.97078645294152,0.9639259734764918,0.9659842252731323,12386400,0.0,0.0
2002-04-24,0.9639256965734677,0.9731876307120175,0.960495114326477,0.960495114326477,6998400,0.0,0.0
2002-04-25,0.9570648069625266,0.9570648069625266,0.9330525007570807,0.9381980299949646,3238800,0.0,0.0
2002-04-26,0.9378547032695552,0.9378547032695552,0.9279070467220552,0.9347674250602722,7994400,0.0,0.0
2002-04-29,0.9296218959495975,0.9399129541709471,0.9296218959495975,0.9347674250602722,3802800,0.0,0.0
2002-04-30,0.9330529210243472,0.9395704896423266,0.9296223376539987,0.9361402988433838,4616400,0.0,0.0
2002-05-01,0.9330524226480349,0.951919198036194,0.9313371809504576,0.9519191980361938,5505600,0.0,0.0
2002-05-02,0.9519194795025719,0.9519194795025719,0.9261919260025024,0.9261919260025024,7122000,0.0,0.0
2002-05-03,0.9261919260025024,0.9364829866596615,0.9261919260025024,0.9261919260025024,5690400,0.0,0.0
2002-05-06,0.9261919254036748,0.950204138540646,0.9261919254036748,0.9433437585830688,4885200,0.0,0.0
2002-05-07,0.9467740433128731,0.9467740433128731,0.9306513342135706,0.9320237636566162,10905600,0.0,0.0
